Trans. Date,Post Date,Description,Amount,Category
08/04/2024,08/04/2024,COMCAST CABLE,79.00,Services
08/10/2024,08/10/2024,DOORDASH*THAI,40.83,Restaurants
08/13/2024,08/13/2024,DELTA AIR LINES,607.11,Travel/Entertainment
08/15/2024,08/15/2024,PAYMENT - THANK YOU,-845.92,Payment
08/16/2024,08/16/2024,SAFEWAY #1834,85.37,Supermarkets
08/21/2024,08/21/2024,TARGET T-2201,82.06,Merchandise
08/23/2024,08/23/2024,DOORDASH*THAI,24.48,Restaurants
08/25/2024,08/25/2024,COMCAST CABLE,79.00,Services
08/27/2024,08/27/2024,SAFEWAY #1834,78.79,Supermarkets
09/05/2024,09/05/2024,TARGET T-2201,120.99,Merchandise
09/12/2024,09/12/2024,DOORDASH*THAI,23.77,Restaurants
09/12/2024,09/12/2024,TARGET T-2201,130.50,Merchandise
09/14/2024,09/14/2024,COMCAST CABLE,79.00,Services
09/14/2024,09/14/2024,SAFEWAY #1834,110.52,Supermarkets
09/15/2024,09/15/2024,PAYMENT - THANK YOU,-561.67,Payment
09/17/2024,09/17/2024,COMCAST CABLE,79.00,Services
09/20/2024,09/20/2024,TARGET T-2201,142.80,Merchandise
09/21/2024,09/21/2024,COMCAST CABLE,79.00,Services
09/22/2024,09/22/2024,DELTA AIR LINES,434.72,Travel/Entertainment
09/25/2024,09/25/2024,TARGET T-2201,150.95,Merchandise
09/28/2024,09/28/2024,DELTA AIR LINES,567.83,Travel/Entertainment
10/05/2024,10/05/2024,SAFEWAY #1834,63.39,Supermarkets
10/06/2024,10/06/2024,TARGET T-2201,64.88,Merchandise
10/07/2024,10/07/2024,TARGET T-2201,69.15,Merchandise
10/08/2024,10/08/2024,COMCAST CABLE,79.00,Services
10/09/2024,10/09/2024,SAFEWAY #1834,84.23,Supermarkets
10/10/2024,10/10/2024,DOORDASH*THAI,39.13,Restaurants
10/13/2024,10/13/2024,DELTA AIR LINES,249.44,Travel/Entertainment
10/15/2024,10/15/2024,PAYMENT - THANK YOU,-474.16,Payment
10/15/2024,10/15/2024,SAFEWAY #1834,93.57,Supermarkets
10/17/2024,10/17/2024,DOORDASH*THAI,23.36,Restaurants
10/21/2024,10/21/2024,SAFEWAY #1834,110.24,Supermarkets
10/22/2024,10/22/2024,DELTA AIR LINES,226.75,Travel/Entertainment
10/24/2024,10/24/2024,COMCAST CABLE,79.00,Services
10/24/2024,10/24/2024,TARGET T-2201,209.04,Merchandise
11/01/2024,11/01/2024,COMCAST CABLE,79.00,Services
11/07/2024,11/07/2024,DOORDASH*THAI,42.79,Restaurants
11/09/2024,11/09/2024,SAFEWAY #1834,51.68,Supermarkets
11/13/2024,11/13/2024,DOORDASH*THAI,41.92,Restaurants
11/15/2024,11/15/2024,DOORDASH*THAI,18.95,Restaurants
11/15/2024,11/15/2024,PAYMENT - THANK YOU,-838.80,Payment
11/20/2024,11/20/2024,COMCAST CABLE,79.00,Services
11/21/2024,11/21/2024,COMCAST CABLE,79.00,Services
11/21/2024,11/21/2024,SAFEWAY #1834,112.47,Supermarkets
11/23/2024,11/23/2024,COMCAST CABLE,79.00,Services
11/23/2024,11/23/2024,DELTA AIR LINES,444.03,Travel/Entertainment
11/24/2024,11/24/2024,DELTA AIR LINES,477.71,Travel/Entertainment
11/24/2024,11/24/2024,DELTA AIR LINES,480.14,Travel/Entertainment
11/24/2024,11/24/2024,SAFEWAY #1834,60.28,Supermarkets
11/24/2024,11/24/2024,TARGET T-2201,66.03,Merchandise
